Transaction Date,Customer ID,Age,Gender,Item Purchased,Category,Quantity,Purchase Amount (THB),Cost Price (THB),Location,Subscription Status,Shipping Type,Payment Method,Previous Purchases,Campaign Name
11/1/2024,C100299,31,Male,Work Pants - Straight,Bottoms,1,2290,960,Bangkok,Inactive,Standard,Bank Transfer,2,Social 2024-11
11/1/2024,C101512,23,Male,Socks - Crew 3-Pack,Accessories,1,590,180,Chiang Mai,Inactive,Express,Bank Transfer,3,Paid Search 2024-11
11/1/2024,C100819,33,Male,Crewneck - Embroidered,Sweatshirts,1,2390,980,Bangkok,Inactive,Express,Credit Card,1,Paid Search 2024-11
11/1/2024,C101620,28,Male,Snapback Cap - Arch Logo,Caps,2,2580,840,Bangkok,Active,Standard,Cash on Delivery,1,Paid Search 2024-11
11/1/2024,C100302,31,Male,Hoodie - Arch Logo,Hoodies,1,2490,1050,Chiang Mai,Active,Standard,Bank Transfer,2,Email 2024-11
11/2/2024,C100128,28,Male,Socks - Crew 3-Pack,Accessories,1,590,180,Bangkok,Active,Standard,Credit Card,1,Paid Search 2024-11
11/2/2024,C100996,38,Female,Socks - Crew 3-Pack,Accessories,1,590,180,Bangkok,Active,Standard,Credit Card,0,Social 2024-11
11/2/2024,C101449,27,Male,Box Logo Tee,T-Shirts,1,990,390,Bangkok,Inactive,Express,Credit Card,1,Paid Search 2024-11
11/2/2024,C102279,30,Male,Graphic Tee - Script,T-Shirts,1,1090,430,Khon Kaen,Active,Standard,PromptPay,1,Email 2024-11
11/2/2024,C100248,38,Male,Shorts - Nylon,Bottoms,1,1490,560,Khon Kaen,Active,Standard,Credit Card,0,Social 2024-11
11/2/2024,C101987,30,Other,Cargo Pants - Relaxed,Bottoms,1,2490,1050,Bangkok,Active,Standard,E-Wallet,5,Email 2024-11
11/2/2024,C101087,28,Male,Tote Bag - Canvas,Accessories,1,990,300,Surat Thani,Active,Standard,Credit Card,2,Social 2024-11
11/2/2024,C101600,26,Male,Cargo Pants - Relaxed,Bottoms,1,2490,1050,Khon Kaen,Active,Standard,E-Wallet,1,Email 2024-11
11/2/2024,C100175,32,Male,Shorts - Twill,Bottoms,2,3180,1200,Rayong,Active,Standard,PromptPay,0,Paid Search 2024-11
11/2/2024,C102435,25,Male,Graphic Tee - Script,T-Shirts,1,1090,430,Phuket,Active,Express,E-Wallet,2,Email 2024-11
11/2/2024,C102356,25,Male,Work Pants - Straight,Bottoms,1,2290,960,Khon Kaen,Inactive,Express,Bank Transfer,1,Email 2024-11
11/2/2024,C101859,29,Female,Socks - Crew 3-Pack,Accessories,1,590,180,Bangkok,Active,Standard,Credit Card,1,Social 2024-11
11/2/2024,C100659,26,Male,Hoodie - Arch Logo,Hoodies,3,7470,3150,Bangkok,Inactive,Standard,Credit Card,1,Social 2024-11
11/2/2024,C102266,16,Male,Zip Hoodie - Minimal,Hoodies,1,2690,1100,Bangkok,Active,Standard,Cash on Delivery,0,Social 2024-11
11/2/2024,C102210,19,Male,Box Logo Tee,T-Shirts,2,1980,780,Bangkok,Inactive,Standard,Credit Card,2,Paid Search 2024-11
11/2/2024,C100622,38,Male,Coach Jacket - Nylon,Outerwear,1,2990,1300,Khon Kaen,Inactive,Standard,Cash on Delivery,1,Affiliates 2024-11
11/2/2024,C100982,21,Male,Tote Bag - Canvas,Accessories,1,990,300,Chiang Mai,Inactive,Standard,Credit Card,0,Affiliates 2024-11
11/2/2024,C101582,21,Male,Coach Jacket - Nylon,Outerwear,1,2990,1300,Bangkok,Inactive,Standard,Credit Card,0,Paid Search 2024-11
11/2/2024,C101732,27,Female,Coach Jacket - Nylon,Outerwear,2,5980,2600,Chonburi,Active,Standard,Credit Card,1,Email 2024-11
11/2/2024,C102478,19,Female,Snapback Cap - Script Logo,Caps,1,1290,420,Phuket,Active,Express,Bank Transfer,2,Paid Search 2024-11
11/2/2024,C100738,37,Female,Tote Bag - Canvas,Accessories,1,990,300,Bangkok,Active,Standard,Cash on Delivery,1,Paid Search 2024-11
11/2/2024,C101331,34,Female,Zip Hoodie - Minimal,Hoodies,1,2690,1100,Bangkok,Active,Express,Credit Card,2,Social 2024-11
11/2/2024,C101319,26,Male,Snapback Cap - Arch Logo,Caps,1,1290,420,Surat Thani,Active,Standard,Credit Card,1,Paid Search 2024-11
11/2/2024,C100323,40,Female,Hoodie - Arch Logo,Hoodies,1,2490,1050,Bangkok,Active,Standard,Credit Card,1,Email 2024-11
11/3/2024,C100475,26,Male,Zip Hoodie - Minimal,Hoodies,3,8070,3300,Bangkok,Inactive,Standard,PromptPay,1,Social 2024-11
11/3/2024,C101718,31,Male,Hoodie - Arch Logo,Hoodies,1,2490,1050,Bangkok,Inactive,Standard,Credit Card,0,Social 2024-11
11/3/2024,C101236,37,Male,5-Panel Cap - Nylon,Caps,1,1190,380,Bangkok,Active,Standard,Bank Transfer,0,Social 2024-11
11/3/2024,C102124,27,Female,Cargo Pants - Relaxed,Bottoms,1,2490,1050,Ayutthaya,Active,Standard,Credit Card,0,Paid Search 2024-11
11/3/2024,C100910,25,Female,Work Pants - Straight,Bottoms,1,2290,960,Bangkok,Active,Standard,PromptPay,0,Paid Search 2024-11
11/3/2024,C102388,32,Female,Snapback Cap - Script Logo,Caps,1,1290,420,Chonburi,Inactive,Standard,Cash on Delivery,0,Email 2024-11
11/3/2024,C101580,28,Male,Box Logo Tee,T-Shirts,1,990,390,Phuket,Active,Standard,Credit Card,0,Paid Search 2024-11
11/3/2024,C101999,23,Male,Zip Hoodie - Minimal,Hoodies,1,2690,1100,Ayutthaya,Active,Standard,E-Wallet,1,Email 2024-11
11/3/2024,C101951,35,Female,Work Pants - Straight,Bottoms,2,4580,1920,Khon Kaen,Inactive,Same-Day,Credit Card,1,Paid Search 2024-11
11/3/2024,C100228,23,Female,Crewneck - Embroidered,Sweatshirts,2,4780,1960,Chonburi,Active,Standard,Cash on Delivery,2,Email 2024-11
11/3/2024,C101268,23,Male,Heavyweight Pocket Tee,T-Shirts,1,1190,480,Bangkok,Inactive,Express,Credit Card,0,Paid Search 2024-11
11/3/2024,C100304,27,Male,Cargo Pants - Relaxed,Bottoms,1,2490,1050,Ayutthaya,Inactive,Same-Day,PromptPay,0,Social 2024-11
11/3/2024,C101712,16,Male,Shorts - Twill,Bottoms,1,1590,600,Chiang Mai,Inactive,Standard,Credit Card,2,Social 2024-11
11/3/2024,C101220,20,Male,Varsity Jacket - Wool Blend,Outerwear,1,3990,1800,Bangkok,Active,Standard,Cash on Delivery,2,Paid Search 2024-11
11/3/2024,C101854,33,Male,Socks - Crew 3-Pack,Accessories,1,590,180,Bangkok,Inactive,Standard,Cash on Delivery,1,Email 2024-11
11/3/2024,C102060,32,Male,Work Pants - Straight,Bottoms,1,2290,960,Phuket,Inactive,Standard,Bank Transfer,2,Affiliates 2024-11
11/3/2024,C101960,27,Female,Snapback Cap - Script Logo,Caps,1,1290,420,Bangkok,Inactive,Express,E-Wallet,1,Social 2024-11
11/3/2024,C100347,19,Male,Varsity Jacket - Wool Blend,Outerwear,1,3990,1800,Bangkok,Active,Standard,Credit Card,1,Social 2024-11
11/3/2024,C101710,34,Male,Belt - Webbing,Accessories,1,690,220,Bangkok,Active,Standard,Credit Card,1,Paid Search 2024-11
11/3/2024,C101066,19,Male,Varsity Jacket - Wool Blend,Outerwear,2,7980,3600,Chonburi,Active,Standard,Cash on Delivery,2,Affiliates 2024-11
11/3/2024,C100069,23,Male,Varsity Jacket - Wool Blend,Outerwear,1,3990,1800,Ayutthaya,Inactive,Standard,Cash on Delivery,0,Paid Search 2024-11
11/3/2024,C102430,30,Male,Belt - Webbing,Accessories,1,690,220,Phuket,Inactive,Standard,Credit Card,2,Social 2024-11
11/3/2024,C102409,20,Male,Crewneck - Collegiate,Sweatshirts,1,2190,920,Phuket,Inactive,Standard,E-Wallet,2,Paid Search 2024-11
11/3/2024,C100172,27,Male,Shorts - Nylon,Bottoms,1,1490,560,Bangkok,Inactive,Standard,PromptPay,0,Email 2024-11
11/3/2024,C101128,27,Male,Zip Hoodie - Minimal,Hoodies,1,2690,1100,Phuket,Active,Standard,Credit Card,0,Paid Search 2024-11
11/4/2024,C101541,38,Female,Shorts - Twill,Bottoms,1,1590,600,Surat Thani,Inactive,Express,Credit Card,1,Paid Search 2024-11
11/4/2024,C101186,21,Male,Cargo Pants - Relaxed,Bottoms,1,2490,1050,Chonburi,Active,Standard,E-Wallet,0,Social 2024-11
11/4/2024,C102312,28,Male,Snapback Cap - Script Logo,Caps,1,1290,420,Phuket,Active,Standard,Credit Card,3,Email 2024-11
11/4/2024,C101923,28,Male,Work Pants - Straight,Bottoms,1,2290,960,Bangkok,Inactive,Standard,Credit Card,2,Email 2024-11
11/4/2024,C101946,29,Female,Graphic Tee - Script,T-Shirts,1,1090,430,Chonburi,Active,Standard,E-Wallet,0,Social 2024-11
11/4/2024,C101972,31,Male,Crewneck - Embroidered,Sweatshirts,1,2390,980,Bangkok,Inactive,Same-Day,PromptPay,2,Email 2024-11
11/4/2024,C101513,16,Male,Socks - Crew 3-Pack,Accessories,1,590,180,Chonburi,Active,Standard,PromptPay,1,Paid Search 2024-11
11/4/2024,C102211,31,Female,Socks - Crew 3-Pack,Accessories,1,590,180,Chonburi,Inactive,Standard,Bank Transfer,0,Social 2024-11
11/4/2024,C101177,26,Male,Hoodie - Arch Logo,Hoodies,1,2490,1050,Bangkok,Inactive,Same-Day,Credit Card,1,Paid Search 2024-11
11/4/2024,C102014,32,Female,5-Panel Cap - Nylon,Caps,1,1190,380,Bangkok,Active,Express,Credit Card,2,Social 2024-11
11/4/2024,C101263,21,Female,Crewneck - Collegiate,Sweatshirts,1,2190,920,Rayong,Active,Express,Cash on Delivery,2,Paid Search 2024-11
11/4/2024,C101431,32,Male,Hoodie - Arch Logo,Hoodies,1,2490,1050,Chonburi,Inactive,Standard,Credit Card,1,Email 2024-11
11/4/2024,C101895,25,Male,5-Panel Cap - Nylon,Caps,1,1190,380,Phuket,Active,Express,Credit Card,0,Email 2024-11
11/4/2024,C102028,28,Female,Graphic Tee - Script,T-Shirts,1,1090,430,Chiang Mai,Inactive,Standard,Bank Transfer,1,Affiliates 2024-11
11/4/2024,C100427,31,Male,Heavyweight Pocket Tee,T-Shirts,1,1190,480,Bangkok,Active,Standard,E-Wallet,3,Email 2024-11
11/4/2024,C100250,19,Female,Socks - Crew 3-Pack,Accessories,1,590,180,Chiang Mai,Active,Standard,Credit Card,0,Paid Search 2024-11
11/4/2024,C100419,27,Male,Shorts - Nylon,Bottoms,2,2980,1120,Rayong,Active,Same-Day,Credit Card,1,Social 2024-11
11/4/2024,C101276,41,Female,Cargo Pants - Relaxed,Bottoms,1,2490,1050,Khon Kaen,Inactive,Standard,PromptPay,2,Social 2024-11
11/4/2024,C101410,35,Female,Box Logo Tee,T-Shirts,2,1980,780,Bangkok,Active,Same-Day,Cash on Delivery,1,Paid Search 2024-11
11/4/2024,C101601,35,Male,5-Panel Cap - Nylon,Caps,2,2380,760,Chiang Mai,Inactive,Express,PromptPay,1,Social 2024-11
11/4/2024,C102152,27,Male,Zip Hoodie - Minimal,Hoodies,1,2690,1100,Bangkok,Inactive,Standard,PromptPay,2,Social 2024-11
11/4/2024,C100285,16,Male,Coach Jacket - Nylon,Outerwear,1,2990,1300,Khon Kaen,Inactive,Standard,Bank Transfer,1,Social 2024-11
11/4/2024,C100310,26,Male,5-Panel Cap - Nylon,Caps,1,1190,380,Phuket,Active,Standard,Cash on Delivery,4,Paid Search 2024-11
11/4/2024,C100284,40,Male,Work Pants - Straight,Bottoms,1,2290,960,Chonburi,Active,Express,Credit Card,1,Social 2024-11
11/4/2024,C101210,20,Male,Tote Bag - Canvas,Accessories,1,990,300,Bangkok,Active,Standard,E-Wallet,4,Paid Search 2024-11
11/4/2024,C100455,22,Male,Work Pants - Straight,Bottoms,1,2290,960,Bangkok,Active,Express,Credit Card,1,Social 2024-11
11/4/2024,C100019,19,Female,Shorts - Twill,Bottoms,1,1590,600,Chonburi,Active,Standard,E-Wallet,0,Social 2024-11
11/4/2024,C100955,34,Male,Coach Jacket - Nylon,Outerwear,2,5980,2600,Chonburi,Active,Express,Credit Card,2,Paid Search 2024-11
11/5/2024,C102305,46,Female,Snapback Cap - Arch Logo,Caps,1,1290,420,Bangkok,Active,Standard,Credit Card,0,Social 2024-11
11/5/2024,C100543,36,Female,Work Pants - Straight,Bottoms,1,2290,960,Phuket,Inactive,Standard,PromptPay,0,Email 2024-11
11/5/2024,C100391,30,Female,Box Logo Tee,T-Shirts,1,990,390,Bangkok,Active,Same-Day,PromptPay,2,Social 2024-11
11/5/2024,C100125,40,Male,Box Logo Tee,T-Shirts,1,990,390,Khon Kaen,Active,Standard,PromptPay,0,Paid Search 2024-11
11/5/2024,C100895,31,Male,Hoodie - Arch Logo,Hoodies,1,2490,1050,Rayong,Active,Standard,Cash on Delivery,2,Social 2024-11
11/5/2024,C101564,31,Male,Zip Hoodie - Minimal,Hoodies,1,2690,1100,Bangkok,Inactive,Standard,Credit Card,2,Paid Search 2024-11
11/5/2024,C101885,29,Male,Graphic Tee - Script,T-Shirts,1,1090,430,Phuket,Active,Standard,Cash on Delivery,1,Paid Search 2024-11
11/5/2024,C101866,33,Male,Box Logo Tee,T-Shirts,1,990,390,Bangkok,Inactive,Express,Credit Card,0,Social 2024-11
11/5/2024,C101240,25,Male,Snapback Cap - Arch Logo,Caps,3,3870,1260,Chiang Mai,Active,Standard,PromptPay,0,Paid Search 2024-11
11/5/2024,C102302,25,Female,Graphic Tee - Script,T-Shirts,2,2180,860,Bangkok,Active,Express,Credit Card,1,Paid Search 2024-11
11/5/2024,C100871,22,Male,Hoodie - Arch Logo,Hoodies,1,2490,1050,Chonburi,Active,Express,Credit Card,0,Social 2024-11
11/5/2024,C102273,27,Male,Tote Bag - Canvas,Accessories,1,990,300,Bangkok,Inactive,Standard,Cash on Delivery,0,Paid Search 2024-11
11/5/2024,C102075,25,Male,Snapback Cap - Script Logo,Caps,1,1290,420,Chonburi,Active,Standard,PromptPay,3,Social 2024-11
11/5/2024,C101739,37,Male,Snapback Cap - Arch Logo,Caps,1,1290,420,Bangkok,Active,Express,Cash on Delivery,2,Paid Search 2024-11
11/5/2024,C100199,20,Male,Box Logo Tee,T-Shirts,2,1980,780,Phuket,Active,Standard,PromptPay,0,Social 2024-11
11/5/2024,C100618,30,Male,Snapback Cap - Script Logo,Caps,1,1290,420,Bangkok,Active,Same-Day,E-Wallet,1,Affiliates 2024-11
11/5/2024,C102427,27,Male,Socks - Crew 3-Pack,Accessories,1,590,180,Chiang Mai,Active,Standard,Bank Transfer,3,Paid Search 2024-11
11/5/2024,C100730,28,Male,Snapback Cap - Arch Logo,Caps,1,1290,420,Chonburi,Inactive,Standard,PromptPay,1,Social 2024-11
11/5/2024,C100351,36,Male,Snapback Cap - Script Logo,Caps,1,1290,420,Bangkok,Inactive,Standard,Cash on Delivery,3,Affiliates 2024-11
11/6/2024,C101971,16,Male,Heavyweight Pocket Tee,T-Shirts,1,1190,480,Chiang Mai,Active,Express,E-Wallet,0,Paid Search 2024-11
11/6/2024,C100713,29,Male,Heavyweight Pocket Tee,T-Shirts,1,1190,480,Chonburi,Inactive,Standard,Cash on Delivery,0,Paid Search 2024-11
11/6/2024,C100860,28,Female,Belt - Webbing,Accessories,1,690,220,Chonburi,Inactive,Same-Day,Credit Card,0,Paid Search 2024-11
11/6/2024,C101892,24,Male,Cargo Pants - Relaxed,Bottoms,1,2490,1050,Bangkok,Inactive,Standard,Bank Transfer,3,Email 2024-11
11/6/2024,C102430,30,Male,Socks - Crew 3-Pack,Accessories,1,590,180,Phuket,Inactive,Standard,Cash on Delivery,0,Email 2024-11
11/6/2024,C100089,30,Male,Graphic Tee - Script,T-Shirts,1,1090,430,Bangkok,Active,Standard,Credit Card,2,Affiliates 2024-11
11/6/2024,C102446,29,Male,Zip Hoodie - Minimal,Hoodies,1,2690,1100,Bangkok,Inactive,Same-Day,Cash on Delivery,2,Social 2024-11
11/6/2024,C100572,29,Female,Coach Jacket - Nylon,Outerwear,1,2990,1300,Chonburi,Inactive,Standard,Credit Card,2,Paid Search 2024-11
11/6/2024,C101701,30,Female,Heavyweight Pocket Tee,T-Shirts,1,1190,480,Bangkok,Inactive,Standard,PromptPay,1,Social 2024-11
11/6/2024,C100729,22,Male,Box Logo Tee,T-Shirts,1,990,390,Bangkok,Inactive,Standard,Cash on Delivery,2,Social 2024-11
11/6/2024,C101177,26,Male,Graphic Tee - Script,T-Shirts,1,1090,430,Bangkok,Inactive,Standard,Credit Card,0,Social 2024-11
11/6/2024,C100019,19,Female,Tote Bag - Canvas,Accessories,1,990,300,Chonburi,Active,Express,Credit Card,3,Affiliates 2024-11
11/6/2024,C100342,28,Male,Work Pants - Straight,Bottoms,1,2290,960,Chonburi,Active,Standard,Bank Transfer,0,Social 2024-11
11/6/2024,C100212,33,Male,Box Logo Tee,T-Shirts,1,990,390,Phuket,Inactive,Standard,Cash on Delivery,5,Paid Search 2024-11
11/6/2024,C101515,26,Male,Hoodie - Arch Logo,Hoodies,1,2490,1050,Bangkok,Inactive,Standard,E-Wallet,1,Affiliates 2024-11
11/6/2024,C101764,26,Female,Tote Bag - Canvas,Accessories,1,990,300,Bangkok,Active,Standard,PromptPay,2,Social 2024-11
11/6/2024,C102231,32,Male,Box Logo Tee,T-Shirts,1,990,390,Chonburi,Active,Standard,Credit Card,3,Paid Search 2024-11
11/6/2024,C100091,33,Female,Crewneck - Collegiate,Sweatshirts,1,2190,920,Surat Thani,Inactive,Standard,Cash on Delivery,0,Paid Search 2024-11
11/6/2024,C101679,24,Female,Snapback Cap - Arch Logo,Caps,3,3870,1260,Surat Thani,Inactive,Standard,E-Wallet,1,Paid Search 2024-11
11/6/2024,C101456,32,Male,Cargo Pants - Relaxed,Bottoms,1,2490,1050,Chonburi,Active,Standard,Credit Card,1,Email 2024-11
11/6/2024,C101219,40,Male,Snapback Cap - Script Logo,Caps,1,1290,420,Bangkok,Active,Standard,Credit Card,2,Paid Search 2024-11
11/6/2024,C101854,33,Male,Hoodie - Arch Logo,Hoodies,1,2490,1050,Bangkok,Inactive,Express,Credit Card,0,Social 2024-11
11/6/2024,C100602,32,Male,Snapback Cap - Script Logo,Caps,1,1290,420,Khon Kaen,Active,Standard,Cash on Delivery,2,Paid Search 2024-11
11/6/2024,C102006,27,Female,Socks - Crew 3-Pack,Accessories,1,590,180,Bangkok,Inactive,Standard,Credit Card,0,Social 2024-11
11/6/2024,C100776,23,Male,5-Panel Cap - Nylon,Caps,1,1190,380,Surat Thani,Active,Standard,Credit Card,2,Email 2024-11
11/6/2024,C101308,34,Male,Work Pants - Straight,Bottoms,1,2290,960,Chonburi,Active,Standard,Credit Card,3,Paid Search 2024-11
11/7/2024,C101048,36,Male,Socks - Crew 3-Pack,Accessories,2,1180,360,Bangkok,Active,Standard,Cash on Delivery,2,Social 2024-11
11/7/2024,C102071,34,Male,5-Panel Cap - Nylon,Caps,1,1190,380,Phuket,Active,Express,E-Wallet,0,Paid Search 2024-11
11/7/2024,C100786,32,Male,Graphic Tee - Script,T-Shirts,1,1090,430,Khon Kaen,Inactive,Same-Day,Credit Card,0,Affiliates 2024-11
11/7/2024,C102371,24,Male,Work Pants - Straight,Bottoms,1,2290,960,Bangkok,Active,Standard,Credit Card,1,Social 2024-11
11/7/2024,C102430,30,Male,Tote Bag - Canvas,Accessories,2,1980,600,Phuket,Inactive,Standard,Credit Card,1,Paid Search 2024-11
11/7/2024,C100023,18,Male,Coach Jacket - Nylon,Outerwear,1,2990,1300,Bangkok,Active,Express,Credit Card,1,Social 2024-11
11/7/2024,C101007,31,Male,Crewneck - Embroidered,Sweatshirts,3,7170,2940,Bangkok,Inactive,Standard,Credit Card,0,Paid Search 2024-11
11/7/2024,C102493,36,Male,Hoodie - Arch Logo,Hoodies,1,2490,1050,Khon Kaen,Active,Standard,Credit Card,1,Affiliates 2024-11
11/7/2024,C101534,24,Male,Work Pants - Straight,Bottoms,1,2290,960,Bangkok,Active,Express,PromptPay,2,Social 2024-11
11/7/2024,C100979,32,Female,Shorts - Twill,Bottoms,1,1590,600,Bangkok,Inactive,Same-Day,Credit Card,0,Paid Search 2024-11
11/7/2024,C100420,39,Male,Shorts - Nylon,Bottoms,1,1490,560,Bangkok,Active,Standard,Credit Card,2,Paid Search 2024-11
11/7/2024,C100245,25,Male,Varsity Jacket - Wool Blend,Outerwear,1,3990,1800,Chiang Mai,Active,Express,E-Wallet,2,Email 2024-11
11/7/2024,C102019,20,Male,Cargo Pants - Relaxed,Bottoms,1,2490,1050,Phuket,Inactive,Standard,Credit Card,4,Email 2024-11
11/7/2024,C102262,34,Male,Snapback Cap - Script Logo,Caps,1,1290,420,Bangkok,Inactive,Standard,Cash on Delivery,2,Email 2024-11
11/7/2024,C100954,27,Female,5-Panel Cap - Nylon,Caps,2,2380,760,Phuket,Active,Standard,Credit Card,2,Paid Search 2024-11
11/7/2024,C101212,23,Male,Shorts - Nylon,Bottoms,2,2980,1120,Chonburi,Inactive,Standard,E-Wallet,0,Email 2024-11
11/7/2024,C101375,26,Female,Snapback Cap - Script Logo,Caps,1,1290,420,Chonburi,Inactive,Express,Credit Card,3,Social 2024-11
11/7/2024,C100493,22,Male,Socks - Crew 3-Pack,Accessories,2,1180,360,Chiang Mai,Active,Standard,Cash on Delivery,0,Paid Search 2024-11
11/7/2024,C101088,25,Male,Box Logo Tee,T-Shirts,1,990,390,Ayutthaya,Active,Standard,E-Wallet,0,Social 2024-11
11/7/2024,C101879,22,Male,Belt - Webbing,Accessories,1,690,220,Chonburi,Inactive,Express,PromptPay,2,Email 2024-11
11/7/2024,C101408,25,Male,Coach Jacket - Nylon,Outerwear,1,2990,1300,Phuket,Active,Standard,Credit Card,3,Paid Search 2024-11
11/7/2024,C100489,32,Male,Shorts - Twill,Bottoms,1,1590,600,Ayutthaya,Active,Standard,Credit Card,2,Social 2024-11
11/7/2024,C102010,17,Female,Shorts - Nylon,Bottoms,1,1490,560,Bangkok,Active,Standard,Cash on Delivery,0,Paid Search 2024-11
11/7/2024,C102161,28,Male,Box Logo Tee,T-Shirts,1,990,390,Rayong,Inactive,Standard,Cash on Delivery,1,Email 2024-11
11/7/2024,C101367,21,Female,Coach Jacket - Nylon,Outerwear,1,2990,1300,Bangkok,Active,Standard,Cash on Delivery,1,Social 2024-11
11/7/2024,C100566,16,Male,Coach Jacket - Nylon,Outerwear,1,2990,1300,Khon Kaen,Active,Standard,Cash on Delivery,0,Social 2024-11
11/7/2024,C100231,28,Male,Box Logo Tee,T-Shirts,1,990,390,Bangkok,Active,Standard,Credit Card,0,Email 2024-11
11/8/2024,C101323,30,Male,Work Pants - Straight,Bottoms,1,2290,960,Bangkok,Inactive,Same-Day,Credit Card,0,Social 2024-11
11/8/2024,C100379,22,Male,Crewneck - Embroidered,Sweatshirts,1,2390,980,Chonburi,Inactive,Standard,Cash on Delivery,2,Affiliates 2024-11
11/8/2024,C102247,19,Male,Snapback Cap - Script Logo,Caps,1,1290,420,Bangkok,Inactive,Standard,Cash on Delivery,0,Paid Search 2024-11
11/8/2024,C100310,26,Male,Graphic Tee - Script,T-Shirts,1,1090,430,Phuket,Active,Standard,Bank Transfer,1,Paid Search 2024-11
11/8/2024,C101191,19,Male,Shorts - Nylon,Bottoms,1,1490,560,Ayutthaya,Inactive,Standard,E-Wallet,0,Paid Search 2024-11
11/8/2024,C101920,16,Male,Snapback Cap - Arch Logo,Caps,1,1290,420,Ayutthaya,Active,Standard,PromptPay,1,Social 2024-11
11/8/2024,C100162,34,Female,Graphic Tee - Script,T-Shirts,2,2180,860,Chonburi,Inactive,Standard,Credit Card,1,Paid Search 2024-11
11/8/2024,C102225,35,Male,Socks - Crew 3-Pack,Accessories,1,590,180,Khon Kaen,Active,Standard,Cash on Delivery,0,Social 2024-11
11/8/2024,C100280,28,Female,Graphic Tee - Script,T-Shirts,1,1090,430,Khon Kaen,Inactive,Standard,Credit Card,2,Social 2024-11
11/8/2024,C100233,23,Male,Tote Bag - Canvas,Accessories,1,990,300,Surat Thani,Inactive,Standard,Credit Card,1,Paid Search 2024-11
11/8/2024,C100178,25,Female,Snapback Cap - Arch Logo,Caps,1,1290,420,Bangkok,Active,Standard,Cash on Delivery,0,Paid Search 2024-11
11/8/2024,C102480,23,Female,Hoodie - Arch Logo,Hoodies,1,2490,1050,Chonburi,Active,Standard,Bank Transfer,1,Paid Search 2024-11
11/8/2024,C101202,28,Male,Socks - Crew 3-Pack,Accessories,1,590,180,Khon Kaen,Active,Standard,Credit Card,1,Affiliates 2024-11
